92.40  2.826  0.10  21.13  8.77
92.00  3.018  0.14  19.66  9.12
91.80  2.945  0.13  22.85  8.58
91.30  2.977  0.13  20.01  9.23
91.10  3.020  0.16  21.44  8.33
91.00  3.109  0.16  19.82  9.08
90.80  2.844  0.10  18.72  9.42
90.20  2.870  0.11  19.50  9.58
89.70  3.128  0.16  23.51  7.92
89.50  2.931  0.14  23.98  7.80
89.40  3.021  0.16  24.21  7.73
89.20  2.919  0.14  24.31  8.42
88.90  2.926  0.20  24.13  8.59
88.80  2.894  0.11  20.46  9.80
88.70  3.098  0.17  17.82  9.31
88.30  2.888  0.11  20.99  9.57
87.90  3.055  0.17  21.84  8.80
87.80  3.159  0.17  18.04  8.74
87.60  2.874  0.12  19.65  9.47
87.20  2.962  0.14  21.64  9.59
87.00  2.953  0.15  22.64  8.65
86.50  2.986  0.16  25.33  7.84
85.80  2.919  0.15  19.12  9.21
85.40  3.047  0.17  22.98  8.06
84.70  3.043  0.17  21.67  9.45
84.60  2.980  0.16  20.46  9.65
84.60  3.176  0.16  17.01  8.44
84.10  3.062  0.18  18.03  8.85
82.80  3.023  0.18  19.41  9.33
82.00  3.198  0.17  15.47  7.96
81.90  3.172  0.16  21.78  9.12
81.80  2.685  0.13  17.12  7.93
80.90  3.078  0.17  22.66  9.38
80.80  3.097  0.16  22.36  9.33
80.30  3.090  0.17  20.17  9.35
80.00  3.196  0.16  20.46  9.39
79.60  3.210  0.16  16.11  8.79
78.10  2.774  0.10  24.75  9.00
77.90  2.954  0.16  23.20  9.53
76.70  3.129  0.17  22.87  8.78
76.40  3.170  0.18  23.05  8.59
75.80  2.943  0.16  20.31  9.15
75.60  2.997  0.15  25.36  9.17
74.40  3.019  0.16  25.12  9.12
74.10  3.082  0.16  23.05  9.83
72.90  3.134  0.17  21.28  9.83
72.30  2.721  0.15  17.35  8.48
71.80  3.103  0.17  24.79  9.25
71.40  2.953  0.17  20.25  9.06
71.30  3.006  0.16  24.88  9.26
68.70  2.919  0.17  22.67  9.64
68.20  2.860  0.15  20.65  9.75
63.80  2.962  0.18  23.08  9.78
63.10  3.025  0.17  24.14  9.23
61.30  3.197  0.17  24.00  8.63
61.20  2.940  0.15  28.65  7.96
56.10  3.213  0.15  26.35  8.07
55.50  3.256  0.16  14.36  7.57
54.60  3.086  0.21  18.93  9.33
52.80  2.807  0.12  22.37  9.41
50.10  3.032  0.16  22.86 10.02
48.20  3.149  0.18  31.23  6.37
47.40  3.309  0.13  17.36  9.20
45.70  3.034  0.18  30.29  6.94
45.40  3.149  0.18  31.08  6.44
43.80  3.058  0.15  26.65  9.41
41.20  2.992  0.15  27.85  9.03
40.30  2.952  0.16  26.38  8.82
39.90  3.183  0.17  22.85  9.87
39.80  3.051  0.18  26.16  8.95
36.60  2.981  0.17  24.08  9.10
31.30  3.033  0.14  27.14  9.80
30.70  2.817  0.13  24.55  9.12
